iter	Accuracy	MultiClass
0	0.8406634507	1.285408556
1	0.84119012	1.201816599
2	0.8497923854	1.128528467
3	0.8499221445	1.066301142
4	0.8498458157	1.010461732
5	0.8499221445	0.9609504382
6	0.8515555827	0.9171827294
7	0.8516319116	0.8784710099
8	0.8525249595	0.842292237
9	0.8555857479	0.8098719878
10	0.8526012884	0.7797631922
11	0.8524180991	0.7520854529
12	0.8559750252	0.7272200388
13	0.8524180991	0.7044693945
14	0.856265075	0.6829958146
15	0.8557460385	0.6631596522
16	0.856265075	0.6437146166
17	0.8590205477	0.6259323871
18	0.8590205477	0.6102873067
19	0.8593563948	0.5950854863
20	0.8702332611	0.5816359173
21	0.8697676549	0.5684857956
22	0.8699890086	0.5556711144
23	0.8699432113	0.5440477829
24	0.8706454371	0.532494215
25	0.8696836931	0.522290579
26	0.8703859188	0.5096125558
27	0.8705920068	0.4986873881
28	0.8734696058	0.4891285124
29	0.8738283516	0.4800573788
30	0.8731032272	0.4720612038
31	0.8744084511	0.4648908788
32	0.8757823711	0.4556917705
33	0.8746985009	0.449406793
34	0.8761945471	0.441312953
35	0.8762556102	0.4332651301
36	0.876064788	0.426688156
37	0.8766906848	0.4201080344
38	0.8780569719	0.4145660573
39	0.8785149452	0.4076038977
40	0.8797056758	0.401168593
41	0.8798812323	0.3951921888
42	0.8804765976	0.3898460128
43	0.8821176686	0.3849341808
44	0.8829191219	0.3800499648
45	0.8840182579	0.3756938677
46	0.8877812719	0.3707021524
47	0.8885598266	0.365978014
48	0.8914603242	0.3606088857
49	0.8915519189	0.3558982168
50	0.8918343358	0.3525711118
51	0.8920175251	0.3473168943
52	0.8928953073	0.3437752556
53	0.8935746344	0.3399788456
54	0.8951622752	0.3356130992
55	0.895383629	0.3325025591
56	0.8963072085	0.3285014332
57	0.8970247	0.3242294546
58	0.8986505053	0.320320876
59	0.8995206546	0.3169673402
60	0.9012914847	0.3141371304
61	0.9008564101	0.3114578674
62	0.9034286936	0.3087244107
63	0.9047568162	0.3058633796
64	0.9060773059	0.3021940857
65	0.9066421397	0.2992707952
66	0.9075351876	0.295821417
67	0.9075809849	0.2935343843
68	0.9076191494	0.2911510814
69	0.9088480445	0.288378235
70	0.9110844808	0.2862841277
71	0.9117103777	0.2834566518
72	0.9116416817	0.2806364437
73	0.9137025616	0.2785676567
74	0.9133743474	0.276011221
75	0.9138704851	0.2741378075
76	0.9147406344	0.2718072145
77	0.9155039233	0.2696454298
78	0.9165725277	0.2671899151
79	0.915801606	0.2652169868
80	0.9176716637	0.2628533048
81	0.9168167801	0.2606775773
82	0.9192974689	0.2586491067
83	0.9204653009	0.2568415743
84	0.921144628	0.2547009111
85	0.9212591213	0.2531273267
86	0.9223429915	0.2506806787
87	0.9226254084	0.2489397515
88	0.9226559399	0.2473861658
89	0.9245183647	0.2449453354
90	0.9256861967	0.2430054154
91	0.9252434891	0.2413774389
92	0.9257243611	0.2394627506
93	0.9282050499	0.2372933896
94	0.9292660214	0.2356083683
95	0.9299071841	0.2338560724
96	0.9296705645	0.2322303135
97	0.9303651574	0.2308410405
98	0.9307697005	0.2292029586
99	0.9307468018	0.227944021
100	0.9318383049	0.2263844859
101	0.9322504809	0.2250958266
102	0.9330366684	0.2237363752
103	0.9333267182	0.2221533731
104	0.9337541599	0.2209737741
105	0.934364791	0.219610504
106	0.9348990932	0.2178552063
107	0.9348380301	0.2167632243
108	0.9351586114	0.2158264325
109	0.9355173572	0.2144668704
110	0.9368683785	0.2127575099
111	0.9377308949	0.2116744759
112	0.9377461607	0.209927826
113	0.9382880957	0.2089767706
114	0.9390361188	0.2074236713
115	0.9391964095	0.2060076598
116	0.9394635606	0.2043831954
117	0.939776509	0.2034107547
118	0.9403795072	0.2025124085
119	0.9408680121	0.2011141026
120	0.9413107196	0.2001001995
121	0.9414023143	0.1991415642
122	0.9416847312	0.1977578311
123	0.9418679205	0.1964811688
124	0.9421198058	0.1953607525
125	0.9424785516	0.1943124071
126	0.942654108	0.1932873784
127	0.9428220316	0.1922260639
128	0.9432647391	0.1915113622
129	0.9432952707	0.190568379
130	0.9437227124	0.1895363994
131	0.9440509266	0.1883842135
132	0.9441119897	0.1873305714
133	0.9448142155	0.1860329798
134	0.9449974048	0.1851718841
135	0.9450432021	0.184502768
136	0.9457148963	0.1836430948
137	0.9462491985	0.1828549046
138	0.9463178945	0.1819241958
139	0.9468140323	0.181214145
140	0.9470201203	0.1802504181
141	0.9473941318	0.179188124
142	0.9476918145	0.1782001574
143	0.9478292065	0.1774136458
144	0.948271914	0.17674762
145	0.9481497878	0.1760185347
146	0.9485390651	0.1747677072
147	0.9489512411	0.1739801683
148	0.9494931762	0.173010404
149	0.9495695051	0.1723130426
150	0.949783226	0.1717006416
151	0.9506991726	0.1706418368
152	0.9510273868	0.1696964124
153	0.9515922206	0.1689518276
154	0.9518593717	0.1683088722
155	0.9521646872	0.1677782004
156	0.9523326108	0.1670202281
157	0.9524623699	0.166099867
158	0.9524013068	0.1655847144
159	0.952660825	0.1650968021
160	0.9531187983	0.1642658626
161	0.9537828596	0.1632494406
162	0.9539431502	0.1624784509
163	0.9541950356	0.1616962432
164	0.9546224773	0.1608729739
165	0.954714072	0.1603633851
166	0.9550193875	0.1598573329
167	0.9553170702	0.1590973862
168	0.9555307911	0.1583920402
169	0.9558590053	0.1578544548
170	0.9557903093	0.157178183
171	0.9560574604	0.1565133717
172	0.956561231	0.155685284
173	0.9567596861	0.1550762215
174	0.956904711	0.1545783047
175	0.9569657741	0.1540493575
176	0.9570573688	0.1535790612
177	0.9574466461	0.1531413853
178	0.957866455	0.1527466055
179	0.958072543	0.1521804004
180	0.9580343785	0.1513645025
181	0.9580954416	0.1506750034
182	0.958278631	0.1501268548
183	0.9587747687	0.1492740203
184	0.9586755412	0.1485286237
185	0.9588968949	0.148001834
186	0.9589961225	0.1474098164
187	0.9591029829	0.1469565227
188	0.9593548683	0.146523211
189	0.9597441456	0.1458058725
190	0.9599044362	0.1452566539
191	0.9602860807	0.1449026493
192	0.9602173847	0.1442629953
193	0.9604921687	0.1437376807
194	0.9605532318	0.1429939798
195	0.9606448264	0.1425788866
196	0.9606600922	0.142204135
197	0.9608661802	0.1416949567
198	0.9610264709	0.1410947813
199	0.9622172015	0.1404457404
200	0.9625606815	0.1399181828
201	0.9634537294	0.1392320577
202	0.9637972094	0.1389028301
203	0.9643009801	0.1383081462
204	0.9643162458	0.1378193414
205	0.9646978903	0.13721865
206	0.9650948005	0.1365853752
207	0.9651405978	0.1362468598
208	0.9654840778	0.1357741667
209	0.9656977987	0.1353947069
210	0.965812292	0.1348887064
211	0.9664916191	0.134299573
212	0.9666137453	0.1338260215
213	0.9666671755	0.1334282213
214	0.9670411871	0.1327957059
215	0.9673159711	0.1323343191
216	0.9675144262	0.1319066682
217	0.9678044759	0.1315742685
218	0.9679113364	0.1311072756
219	0.9678884377	0.1307483233
220	0.9679418679	0.1303502365
221	0.9681861204	0.1300895435
222	0.9683387781	0.1296509761
223	0.9685372332	0.1292626415
224	0.9689799408	0.1286345446
225	0.9692165603	0.1283168191
226	0.9693157879	0.1280362152
227	0.9694989772	0.1275527485
228	0.9698119256	0.1270823744
229	0.9701172412	0.1266243112
230	0.9700714438	0.1262154456
231	0.9704912527	0.1258407787
232	0.9704301896	0.1255159437
233	0.9706210118	0.1252856642
234	0.970743138	0.1248491274
235	0.9707507709	0.1243896781
236	0.9710408207	0.1241688624
237	0.9713308705	0.1237388862
238	0.9714835282	0.1234207256
239	0.9718651727	0.1229357811
240	0.9721323238	0.1225030008
241	0.9720788935	0.1220011436
242	0.9725597655	0.1216440536
243	0.9728803468	0.1212525209
244	0.9731169664	0.1210287224
245	0.9731398651	0.1207146654
246	0.973345953	0.1202524536
247	0.9735444081	0.1198022074
248	0.9738191921	0.1194952258
249	0.9739718499	0.1192251124
250	0.9740176472	0.1187332249
251	0.9741168748	0.1182886891
252	0.9741626721	0.1180404005
253	0.9743458614	0.1177006519
254	0.974376393	0.1175211726
255	0.9743840259	0.1172195975
256	0.9745519494	0.1169576637
257	0.9747427717	0.1165668188
258	0.9748877965	0.116127296
259	0.9750099228	0.1156801381
260	0.9750938845	0.1152791362
261	0.9751625805	0.1150317251
262	0.9751244161	0.11460934
263	0.975338137	0.1143782645
264	0.9754831618	0.1141612319
265	0.9757426801	0.1137692262
266	0.9758113761	0.1133575629
267	0.9758724392	0.1131193982
268	0.9758113761	0.1128130519
269	0.9757579458	0.1126042617
270	0.9759258694	0.1123582182
271	0.9759258694	0.1121806709
272	0.9759411352	0.1118103633
273	0.9759640338	0.111410258
274	0.9761701218	0.1111844709
275	0.9762311849	0.1110281904
276	0.9763151467	0.1107523158
277	0.9763991085	0.1103812063
278	0.9764678045	0.110120335
279	0.976635728	0.1098114687
280	0.9768265502	0.1094250029
281	0.9771318658	0.1091112159
282	0.9773990169	0.1086706447
283	0.9775135102	0.108309683
284	0.9774753458	0.1080953466
285	0.9776203707	0.1078104108
286	0.9776203707	0.1073782083
287	0.9775593075	0.1071918289
288	0.9776280035	0.1068312387
289	0.9777501298	0.1065329332
290	0.9779638506	0.1062714671
291	0.9780325466	0.1060949843
292	0.9781317742	0.1059026569
293	0.9783225964	0.1055138911
294	0.9783760266	0.1053110427
295	0.9782767991	0.1049285823
296	0.9784065582	0.1045746753
297	0.9784370897	0.1044018887
298	0.9786126462	0.1040168375
299	0.9787118737	0.1038024466
300	0.9786050133	0.1034518883
301	0.9787195066	0.1031903187
302	0.9789484933	0.1029368548
303	0.9790477208	0.1027497171
304	0.9792156444	0.1023715441
305	0.9792003786	0.1021560674
306	0.9792690746	0.1019051865
307	0.9792843404	0.1017014386
308	0.9793912008	0.1015219138
309	0.9794293652	0.1013297022
310	0.9793606693	0.1011283858
311	0.9795362257	0.1008377547
312	0.9796354532	0.1004588841
313	0.9797041492	0.100304031
314	0.9796430861	0.1000744343
315	0.9796888835	0.09982355854
316	0.9798491741	0.09962331128
317	0.9799102372	0.09945638004
318	0.9800552621	0.09910685963
319	0.980062895	0.09888669906
320	0.9801010594	0.09867076325
321	0.9800934266	0.09834952836
322	0.9802231857	0.09808900055
323	0.9802537172	0.09788973681
324	0.9804598052	0.09758919083
325	0.9804445394	0.097463467
326	0.9805132354	0.09718146847
327	0.9805895643	0.09705897812
328	0.980749855	0.09686349544
329	0.9809330443	0.09661150123
330	0.9809864745	0.09639691517
331	0.9811772967	0.09605137082
332	0.9812459927	0.09575373911
333	0.9811086007	0.0954804326
334	0.9811925625	0.09531331865
335	0.981162031	0.09515562204
336	0.9811391323	0.09494022549
337	0.9812459927	0.09465625093
338	0.9813757518	0.09434816096
339	0.9813375874	0.09405371607
340	0.9813757518	0.09380066675
341	0.9814978781	0.09363396304
342	0.9815131438	0.09344132342
343	0.9816276372	0.09320446227
344	0.9815513083	0.09295509093
345	0.9816123714	0.09285018559
346	0.9816429029	0.09272108057
347	0.9818108265	0.09252445093
348	0.9816810674	0.09231210839
349	0.9817650292	0.09197905449
350	0.9818031936	0.09183388379
351	0.9817497634	0.0916607413
352	0.9818031936	0.09150318799
353	0.9819863829	0.09126347652
354	0.982116142	0.09111350916
355	0.9821772051	0.09100800465
356	0.9821619394	0.09083011953
357	0.982184838	0.09062112927
358	0.9821695723	0.09043662567
359	0.9824138247	0.09020554133
360	0.9824977865	0.08998262606
361	0.9825512167	0.08968467893
362	0.9825893811	0.08952849203
363	0.9825588496	0.08937077776
364	0.9825664825	0.08914721283
365	0.9826428113	0.08897687177
366	0.9826351785	0.08872125927
367	0.9826580771	0.08856409009
368	0.9827191402	0.08841677937
369	0.9827725705	0.08823252989
370	0.9827954691	0.08806833025
371	0.9828336336	0.0878285645
372	0.9828794309	0.08756847009
373	0.9829099624	0.08727516567
374	0.9830549873	0.0871216197
375	0.9830015571	0.08696478822
376	0.9830244558	0.0867537099
377	0.9830702531	0.08658115173
378	0.9832229109	0.08637449874
379	0.9832458095	0.0862391386
380	0.9832916069	0.08606158663
381	0.9832992398	0.0857848727
382	0.9833145055	0.08567206104
383	0.9833679358	0.08550249219
384	0.9834671633	0.0852830143
385	0.983490062	0.08516643759
386	0.9836045553	0.08499958513
387	0.9835663909	0.08482160846
388	0.9835434922	0.08466149362
389	0.9835892895	0.08449816318
390	0.983627454	0.08433299275
391	0.9837266815	0.08410380071
392	0.9837953775	0.08403030211
393	0.9838869722	0.08387526125
394	0.9839404024	0.08374848622
395	0.9839861997	0.08365622768
396	0.9839556682	0.08336684993
397	0.9839251366	0.08318543769
398	0.9839785668	0.08309825998
399	0.98403963	0.08298687396
400	0.9840090984	0.08284399483
401	0.9840701615	0.08270316502
402	0.9841388575	0.0825112637
403	0.9841159588	0.08233833596
404	0.9841922877	0.08207865252
405	0.9842686166	0.08193321267
406	0.9842991482	0.08182145344
407	0.9842838824	0.08167963112
408	0.9842457179	0.08152766909
409	0.9844441731	0.08132555595
410	0.9844976033	0.08112803056
411	0.9845968308	0.08098713909
412	0.9846349953	0.08091549522
413	0.984650261	0.08074222504
414	0.9846807926	0.08059120014
415	0.9846655268	0.0804442564
416	0.9848258175	0.08023703931
417	0.9848716148	0.07998249368
418	0.984925045	0.07978949191
419	0.9850548041	0.07966801243
420	0.9849708424	0.07950901979
421	0.9849174121	0.07928759371
422	0.9848487161	0.07907768777
423	0.9848410833	0.07898299125
424	0.984925045	0.0789093238
425	0.9849021464	0.07871612718
426	0.9849555766	0.07857749731
427	0.985062437	0.07846063634
428	0.9852227277	0.07829168296
429	0.9851387659	0.07819558554
430	0.9851921961	0.07800089813
431	0.9852227277	0.07797410463
432	0.9852914237	0.07788348874
433	0.9852990566	0.07777547669
434	0.9853830183	0.0775996805
435	0.9854364486	0.07745722139
436	0.9854135499	0.07740102085
437	0.9854440815	0.0772057512
438	0.9855509419	0.07710864552
