iter	Passed	Remaining
0	102	50963
1	191	47768
2	285	47269
3	423	52530
4	526	52166
5	617	50848
6	713	50237
7	800	49222
8	897	48980
9	987	48393
10	1077	47877
11	1164	47344
12	1262	47308
13	1350	46887
14	1441	46604
15	1528	46229
16	1617	45967
17	1711	45829
18	1800	45574
19	1891	45393
20	1970	44953
21	2060	44762
22	2158	44760
23	2249	44605
24	2341	44479
25	2426	44238
26	2520	44150
27	2606	43945
28	2696	43798
29	2782	43593
30	2869	43419
31	2957	43259
32	3045	43105
33	3131	42924
34	3221	42803
35	3316	42740
36	3401	42566
37	3486	42387
38	3572	42225
39	3658	42069
40	3756	42057
41	3847	41950
42	3920	41665
43	4007	41532
44	4092	41383
45	4189	41345
46	4279	41245
47	4368	41137
48	4445	40919
49	4523	40715
50	4605	40547
51	4689	40403
52	4776	40288
53	4858	40128
54	4940	39973
55	5025	39846
56	5105	39682
57	5186	39526
58	5295	39578
59	5389	39525
60	5481	39446
61	5563	39300
62	5639	39120
63	5718	38957
64	5822	38964
65	5953	39150
66	6039	39030
67	6117	38861
68	6194	38692
69	6285	38612
70	6373	38510
71	6480	38520
72	6565	38405
73	6645	38258
74	6730	38141
75	6820	38049
76	6930	38071
77	7023	38001
78	7128	37986
79	7206	37835
80	7308	37805
81	7395	37701
82	7485	37606
83	7564	37461
84	7648	37340
85	7725	37188
86	7813	37092
87	7910	37037
88	7991	36903
89	8077	36795
90	8162	36687
91	8243	36559
92	8338	36490
93	8427	36398
94	8525	36344
95	8608	36228
96	8697	36135
97	8784	36035
98	8868	35920
99	8944	35778
100	9029	35670
101	9111	35552
102	9196	35447
103	9317	35477
104	9422	35446
105	9509	35346
106	9608	35291
107	9687	35162
108	9766	35032
109	9841	34891
110	9933	34813
111	10017	34705
112	10114	34638
113	10188	34496
114	10296	34469
115	10435	34546
116	10669	34927
117	10754	34815
118	10853	34749
119	10953	34687
120	11034	34561
121	11132	34492
122	11227	34412
123	11318	34320
124	11411	34235
125	11496	34125
126	11586	34030
127	11687	33966
128	11784	33891
129	11875	33798
130	11970	33717
131	12071	33653
132	12165	33570
133	12266	33505
134	12350	33393
135	12435	33283
136	12517	33167
137	12595	33039
138	12676	32922
139	12748	32783
140	12840	32692
141	12946	32640
142	13045	32568
143	13127	32452
144	13205	32330
145	13291	32226
146	13384	32140
147	13462	32019
148	13548	31916
149	13626	31795
150	13708	31684
151	13798	31592
152	13891	31506
153	13972	31392
154	14048	31268
155	14131	31161
156	14221	31069
157	14303	30961
158	14377	30833
159	14453	30714
160	14556	30650
161	14641	30548
162	14724	30442
163	14807	30336
164	14894	30239
165	14983	30148
166	15134	30177
167	15256	30150
168	15345	30056
169	15440	29972
170	15526	29872
171	15618	29784
172	15706	29688
173	15784	29573
174	15867	29467
175	15945	29354
176	16023	29240
177	16100	29125
178	16176	29009
179	16254	28896
180	16362	28837
181	16472	28782
182	16581	28722
183	16688	28661
184	16776	28565
185	16857	28457
